category	slug	result	destination	remote_url
crpg	openmw	cloned	reference-library/crpg-mud/repositories/crpg/openmw	https://gitlab.com/OpenMW/openmw.git
crpg	gemrb	cloned	reference-library/crpg-mud/repositories/crpg/gemrb	https://github.com/gemrb/gemrb.git
crpg	exult	cloned	reference-library/crpg-mud/repositories/crpg/exult	https://github.com/exult/exult.git
crpg	xu4	cloned	reference-library/crpg-mud/repositories/crpg/xu4	https://github.com/xu4-engine/u4.git
crpg	arx-libertatis	cloned	reference-library/crpg-mud/repositories/crpg/arx-libertatis	https://github.com/arx/ArxLibertatis.git
crpg	daggerfall-unity	cloned	reference-library/crpg-mud/repositories/crpg/daggerfall-unity	https://github.com/Interkarma/daggerfall-unity.git
crpg	opentesarena	cloned	reference-library/crpg-mud/repositories/crpg/opentesarena	https://github.com/afritz1/OpenTESArena.git
crpg	devilutionx	cloned	reference-library/crpg-mud/repositories/crpg/devilutionx	https://github.com/diasurgical/devilutionX.git
crpg	opendiablo2	cloned	reference-library/crpg-mud/repositories/crpg/opendiablo2	https://github.com/OpenDiablo2/OpenDiablo2.git
crpg	opennox	cloned	reference-library/crpg-mud/repositories/crpg/opennox	https://github.com/noxworld-dev/opennox.git
crpg	xoreos	cloned	reference-library/crpg-mud/repositories/crpg/xoreos	https://github.com/xoreos/xoreos.git
crpg	opengothic	cloned	reference-library/crpg-mud/repositories/crpg/opengothic	https://github.com/Try/OpenGothic.git
crpg	flare-engine	cloned	reference-library/crpg-mud/repositories/crpg/flare-engine	https://github.com/flareteam/flare-engine.git
crpg	flare-game	cloned	reference-library/crpg-mud/repositories/crpg/flare-game	https://github.com/flareteam/flare-game.git
crpg	freedroidrpg	cloned	reference-library/crpg-mud/repositories/crpg/freedroidrpg	https://gitlab.com/freedroid/freedroid-src.git
crpg	egoboo	cloned	reference-library/crpg-mud/repositories/crpg/egoboo	https://github.com/egoboo/egoboo.git
crpg	valyria-tear	cloned	reference-library/crpg-mud/repositories/crpg/valyria-tear	https://github.com/ValyriaTear/ValyriaTear.git
crpg	stendhal	cloned	reference-library/crpg-mud/repositories/crpg/stendhal	https://github.com/arianne/stendhal.git
crpg	crossfire-server	cloned	reference-library/crpg-mud/repositories/crpg/crossfire-server	https://git.code.sf.net/p/crossfire/crossfire-server
crpg	crossfire-client	cloned	reference-library/crpg-mud/repositories/crpg/crossfire-client	https://git.code.sf.net/p/crossfire/crossfire-client
